boundary,counties
feature,"Humboldt County, Nevada"
feature id,71
center,"-118.1745, 41.2633"
scenario,Medium (RCP 4.5)
climate indicator,Extreme Heat Days Frequency
threshold,95.9 Â°F

year,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,6,0,2,2,3
1951,4,4,0,2,14
1952,0,5,5,6,7
1953,4,7,3,4,0
1954,6,1,0,7,6
1955,10,2,1,0,5
1956,0,0,7,8,7
1957,0,6,4,0,15
1958,4,0,0,0,0
1959,17,0,3,0,2
1960,14,5,4,4,0
1961,12,6,8,0,2
1962,1,4,4,0,3
1963,1,4,0,4,0
1964,2,8,0,7,3
1965,0,15,2,0,1
1966,2,1,0,2,0
1967,4,9,0,0,0
1968,7,5,0,0,3
1969,6,3,4,0,2
1970,0,3,0,6,13
1971,9,1,9,0,7
1972,7,3,2,3,14
1973,4,2,4,9,6
1974,4,2,11,0,15
1975,6,6,3,7,0
1976,1,12,1,6,0
1977,4,6,0,4,0
1978,12,0,7,5,6
1979,5,0,0,2,4
1980,6,0,8,3,12
1981,4,0,18,0,3
1982,1,0,8,9,9
1983,3,6,2,5,2
1984,4,5,14,2,4
1985,2,7,0,4,4
1986,0,1,6,5,1
1987,1,8,1,6,10
1988,9,1,7,13,7
1989,3,8,6,10,3
1990,8,3,1,11,10
1991,3,5,3,8,2
1992,7,0,1,9,0
1993,0,8,0,6,3
1994,5,7,7,3,0
1995,0,3,4,13,7
1996,5,10,8,0,1
1997,2,1,13,15,1
1998,11,6,5,16,13
1999,3,4,2,3,6
2000,6,12,10,8,7
2001,5,7,5,2,4
2002,5,8,13,6,10
2003,11,10,25,19,15
2004,1,19,15,8,5
2005,10,10,15,10,8
2006,,6,11,5,7
2007,,11,6,12,14
2008,,12,25,5,22
2009,,7,11,11,18
2010,,6,16,8,6
2011,,10,8,15,2
2012,,15,19,11,8
2013,,9,13,16,14
2014,,11,5,4,12
2015,,14,16,10,0
2016,,7,15,4,7
2017,,6,13,3,7
2018,,14,21,15,14
2019,,18,16,8,17
2020,,10,16,12,16
2021,,8,10,17,12
2022,,13,9,25,32
2023,,16,10,13,30
2024,,29,23,39,17
2025,,17,17,23,6
2026,,16,0,25,24
2027,,25,14,15,15
2028,,28,24,40,21
2029,,15,11,9,30
2030,,18,21,25,14
2031,,15,17,28,17
2032,,15,7,27,18
2033,,42,10,23,10
2034,,35,9,17,34
2035,,22,11,15,30
2036,,14,20,17,18
2037,,18,16,40,13
2038,,20,23,37,21
2039,,24,31,31,14
2040,,14,20,44,19
2041,,33,11,29,11
2042,,8,22,29,23
2043,,36,8,39,11
2044,,18,11,32,11
2045,,52,16,29,42
2046,,17,15,39,23
2047,,30,10,37,25
2048,,19,27,29,12
2049,,18,7,38,13
2050,,15,31,25,24
2051,,23,20,39,33
2052,,17,17,27,25
2053,,24,26,34,38
2054,,30,27,18,12
2055,,22,13,34,15
2056,,40,20,60,21
2057,,32,31,56,43
2058,,24,24,32,26
2059,,18,12,44,12
2060,,14,27,40,9
2061,,30,34,27,31
2062,,55,28,44,17
2063,,20,37,47,15
2064,,33,19,45,27
2065,,40,36,43,24
2066,,41,30,32,18
2067,,14,34,55,52
2068,,27,26,54,19
2069,,33,25,30,30
2070,,33,40,70,21
2071,,40,35,48,34
2072,,33,30,50,40
2073,,36,33,48,55
2074,,41,49,62,48
2075,,33,17,51,33
2076,,38,31,65,35
2077,,13,27,32,34
2078,,32,35,26,32
2079,,24,44,28,44
2080,,22,40,51,35
2081,,24,32,74,56
2082,,28,15,33,39
2083,,27,46,66,50
2084,,23,45,41,8
2085,,13,30,77,39
2086,,39,39,34,52
2087,,22,27,67,28
2088,,45,17,39,32
2089,,42,33,57,31
2090,,23,33,52,19
2091,,33,40,48,41
2092,,42,46,44,44
2093,,36,27,51,46
2094,,26,50,49,27
2095,,49,63,41,32
2096,,43,38,52,49
2097,,35,20,53,49
2098,,46,42,73,49
2099,,29,45,27,33